vocab_size,model_type,fertility,chars_per_token,bytes_per_token,unk_rate,byte_fallback_rate,tokens_per_doc,eval_documents,eval_tokens,embedding_params,embedding_share,fertility_by_provenance,model_path
4000,unigram,1.6552869719915413,3.128056459517289,7.957501619631492,0.0,0.007358290176812415,693.3676,5000,3466838,2048000,0.08192,"{""manual"": 1.6808, ""downloaded"": 1.6225}",/home/jupyter/LLM-for-hindi-and-nepali/hindi/tokenizer/analysis/sweep_models/spm_hindi_unigram_v4000.model
8000,unigram,1.4747811190110023,3.51091496788706,8.931460127053153,0.0,0.008258908192409575,617.7572,5000,3088786,4096000,0.16384,"{""manual"": 1.4928, ""downloaded"": 1.4466}",/home/jupyter/LLM-for-hindi-and-nepali/hindi/tokenizer/analysis/sweep_models/spm_hindi_unigram_v8000.model
16000,unigram,1.3608875655735788,3.8047456939696804,9.678939755045791,0.0,0.008950101517517605,570.0494,5000,2850247,8192000,0.32768,"{""manual"": 1.3769, ""downloaded"": 1.3365}",/home/jupyter/LLM-for-hindi-and-nepali/hindi/tokenizer/analysis/sweep_models/spm_hindi_unigram_v16000.model
32000,unigram,1.289423764194379,4.015616315500451,10.215376144247905,0.0,0.00944614346659024,540.1146,5000,2700573,16384000,0.65536,"{""manual"": 1.3061, ""downloaded"": 1.268}",/home/jupyter/LLM-for-hindi-and-nepali/hindi/tokenizer/analysis/sweep_models/spm_hindi_unigram_v32000.model
