rank,id,piece,count,share,is_byte_fallback
1949,2189,▁जिनमें,456,0.00008215,0
1950,2418,ag,456,0.00008215,0
1951,2396,K,454,0.00008179,0
1952,2158,▁उत्पादन,454,0.00008179,0
1953,2864,▁रोज,454,0.00008179,0
1954,2255,▁इतनी,454,0.00008179,0
1955,2376,लोक,454,0.00008179,0
1956,2278,],454,0.00008179,0
1957,2253,▁महाराष्ट्र,453,0.00008161,0
1958,1827,▁वर्,452,0.00008143,0
1959,2177,वां,452,0.00008143,0
1960,2095,नू,452,0.00008143,0
1961,2164,▁अच्छे,451,0.00008125,0
1962,2178,▁ग्रामीण,451,0.00008125,0
1963,2122,▁तलाश,451,0.00008125,0
1964,1965,▁नियम,451,0.00008125,0
1965,2827,यंत्र,451,0.00008125,0
1966,2103,कुल,451,0.00008125,0
1967,2301,ांक,451,0.00008125,0
1968,2260,▁खोज,451,0.00008125,0
1969,1649,▁१९,451,0.00008125,0
1970,1853,▁उम्मीदवार,450,0.00008107,0
1971,2188,V,450,0.00008107,0
1972,2124,▁विस्तार,450,0.00008107,0
1973,1616,वत,450,0.00008107,0
1974,2206,स्टर,450,0.00008107,0
1975,2611,▁काव्य,450,0.00008107,0
1976,2404,झा,449,0.00008089,0
1977,2132,▁फिलहाल,449,0.00008089,0
1978,2284,▁पड़े,449,0.00008089,0
1979,1992,त्ता,449,0.00008089,0
1980,2275,▁कथा,449,0.00008089,0
1981,2783,▁अधि,448,0.00008071,0
1982,2045,▁तस्वीर,448,0.00008071,0
1983,2434,▁विशेषज्ञ,447,0.00008053,0
1984,2060,▁आयोग,447,0.00008053,0
1985,2586,▁कौ,447,0.00008053,0
1986,2080,▁सूची,447,0.00008053,0
1987,2123,▁उदाहरण,446,0.00008035,0
1988,2487,▁साम,446,0.00008035,0
1989,2407,▁फिल्मों,446,0.00008035,0
1990,2172,▁सत्ता,446,0.00008035,0
1991,2263,लेट,446,0.00008035,0
1992,2109,▁डिग्री,445,0.00008017,0
1993,2442,▁पारी,445,0.00008017,0
1994,2093,▁परिषद,445,0.00008017,0
1995,2107,▁प्रश्न,445,0.00008017,0
1996,2344,ख्या,445,0.00008017,0
1997,2347,▁बहन,445,0.00008017,0
1998,3094,▁कॉल,445,0.00008017,0
1999,2378,▁प्रभारी,445,0.00008017,0
2000,1973,▁इनके,444,0.00007999,0
2001,2258,▁शांति,443,0.00007981,0
2002,2006,▁राजधानी,443,0.00007981,0
2003,2055,▁ओवर,442,0.00007963,0
2004,2302,▁संत,442,0.00007963,0
2005,2280,▁चिंता,442,0.00007963,0
2006,2318,▁भेजा,441,0.00007945,0
2007,2126,▁रूस,441,0.00007945,0
2008,2400,▁चाहिये,441,0.00007945,0
2009,2167,▁मात्रा,440,0.00007927,0
2010,2361,▁लेना,440,0.00007927,0
2011,2308,▁व्यवहार,440,0.00007927,0
2012,2336,▁हरि,439,0.00007909,0
2013,2237,▁उनमें,439,0.00007909,0
2014,2244,▁तैयारी,439,0.00007909,0
2015,2145,▁तापमान,439,0.00007909,0
2016,2226,states,439,0.00007909,0
2017,2419,शंकर,439,0.00007909,0
2018,2146,▁सफल,438,0.00007891,0
2019,2251,▁लड़की,438,0.00007891,0
2020,2067,▁तोड़,438,0.00007891,0
2021,2161,▁प्राचीन,438,0.00007891,0
2022,2222,▁वरिष्ठ,437,0.00007873,0
2023,2009,क्क,437,0.00007873,0
2024,2221,▁प्ले,436,0.00007855,0
2025,2216,▁कब,436,0.00007855,0
2026,2137,▁दस,436,0.00007855,0
2027,2571,ॉय,436,0.00007855,0
2028,2323,▁कू,435,0.00007837,0
2029,1890,▁बहु,435,0.00007837,0
2030,2157,▁ब्रा,435,0.00007837,0
2031,2092,▁आवाज,434,0.00007819,0
2032,2212,▁विकसित,433,0.00007801,0
2033,2671,▁क्रम,433,0.00007801,0
2034,2089,▁आंदोलन,433,0.00007801,0
2035,2054,▁कपूर,433,0.00007801,0
2036,2071,▁दिसंबर,432,0.00007783,0
2037,2247,▁लाइन,432,0.00007783,0
2038,2140,hi,432,0.00007783,0
2039,2151,▁जिसकी,432,0.00007783,0
2040,2173,▁प्रमाण,432,0.00007783,0
2041,2288,▁अनुमति,432,0.00007783,0
2042,2465,▁दम,431,0.00007765,0
2043,2194,▁राहत,431,0.00007765,0
2044,2218,▁खु,431,0.00007765,0
2045,2166,▁खुश,431,0.00007765,0
2046,2239,▁गेंदबाज,430,0.00007747,0
2047,2208,▁अक्टूबर,430,0.00007747,0
2048,2320,▁सां,430,0.00007747,0
2049,2459,▁गर्म,430,0.00007747,0
2050,2127,▁शराब,429,0.00007729,0
2051,2550,▁अपील,429,0.00007729,0
2052,2191,▁अली,429,0.00007729,0
2053,2623,▁साधन,429,0.00007729,0
2054,2190,पात,429,0.00007729,0
2055,1980,▁सम्बन्ध,428,0.00007711,0
2056,228,<0xE0>,428,0.00007711,1
2057,2332,रियल,427,0.00007693,0
2058,2170,▁इलाके,427,0.00007693,0
2059,2245,▁धार्मिक,426,0.00007675,0
2060,2168,▁लखनऊ,426,0.00007675,0
2061,2192,▁स्थापना,426,0.00007675,0
2062,2471,▁मौका,425,0.00007657,0
2063,2069,▁गुजरात,425,0.00007657,0
2064,2743,▁अमित,425,0.00007657,0
2065,2473,▁चीनी,425,0.00007657,0
2066,2279,▁अहम,424,0.00007639,0
2067,2148,▁पीएम,424,0.00007639,0
2068,2772,Y,424,0.00007639,0
2069,2252,▁टूट,423,0.00007620,0
2070,2664,▁डाय,423,0.00007620,0
2071,2454,▁चोरी,423,0.00007620,0
2072,2325,▁बनाई,423,0.00007620,0
2073,2367,▁डॉलर,422,0.00007602,0
2074,2528,▁शैल,422,0.00007602,0
2075,2615,▁अल्,422,0.00007602,0
2076,2496,▁पृथ्वी,422,0.00007602,0
2077,2365,वर्त,422,0.00007602,0
2078,2276,▁नामक,421,0.00007584,0
2079,2373,▁संसद,421,0.00007584,0
2080,2894,मैं,420,0.00007566,0
2081,2195,▁आपका,420,0.00007566,0
2082,2358,▁&,420,0.00007566,0
2083,2133,▁हिंदी,419,0.00007548,0
2084,3655,औ,419,0.00007548,0
2085,2053,▁दरअसल,419,0.00007548,0
2086,2360,el,418,0.00007530,0
2087,2524,▁हालत,417,0.00007512,0
2088,3416,प्ला,417,0.00007512,0
2089,2324,▁जग,417,0.00007512,0
2090,2628,▁चलने,416,0.00007494,0
2091,2307,▁अचानक,416,0.00007494,0
2092,2470,▁V,416,0.00007494,0
2093,2267,▁कही,416,0.00007494,0
2094,2616,▁रेल,416,0.00007494,0
2095,2042,▁राजनीति,415,0.00007476,0
2096,2210,▁नरेंद्र,415,0.00007476,0
2097,2088,▁विद्यालय,415,0.00007476,0
2098,2193,गार,415,0.00007476,0
2099,2037,▁रै,415,0.00007476,0
2100,2370,▁६,415,0.00007476,0
2101,2333,▁साबित,414,0.00007458,0
2102,2469,▁खड़े,414,0.00007458,0
2103,2416,▁चोट,414,0.00007458,0
2104,2223,▁भवन,413,0.00007440,0
2105,2391,▁प्रतिनिधि,413,0.00007440,0
2106,2495,शाला,413,0.00007440,0
2107,2693,डीए,413,0.00007440,0
2108,2688,▁इन्,412,0.00007422,0
2109,3075,चु,412,0.00007422,0
2110,2353,▁दोपहर,412,0.00007422,0
2111,2290,▁५,412,0.00007422,0
2112,2942,हाँ,411,0.00007404,0
2113,2326,ज्ञ,411,0.00007404,0
2114,2131,▁सजा,410,0.00007386,0
2115,1993,▁धारा,410,0.00007386,0
2116,2128,▁प्रसाद,409,0.00007368,0
2117,2560,▁श्रम,409,0.00007368,0
2118,2153,▁प्राथमिक,409,0.00007368,0
2119,2155,▁अरब,409,0.00007368,0
2120,2605,जनक,408,0.00007350,0
2121,2877,वॉ,407,0.00007332,0
2122,2209,▁सितंबर,407,0.00007332,0
2123,2444,▁हृदय,407,0.00007332,0
2124,2303,▁सुना,407,0.00007332,0
2125,2331,▁परिजनों,406,0.00007314,0
2126,2236,▁चाहता,406,0.00007314,0
2127,2557,▁चौधरी,406,0.00007314,0
2128,2456,▁सत्र,405,0.00007296,0
2129,2184,▁संकेत,405,0.00007296,0
2130,2315,▁सामग्री,405,0.00007296,0
2131,2343,▁बातें,405,0.00007296,0
2132,2667,पन्न,405,0.00007296,0
2133,2577,▁बरामद,404,0.00007278,0
2134,1891,यां,404,0.00007278,0
2135,2657,▁खाना,404,0.00007278,0
2136,2573,भाष,404,0.00007278,0
