rank,id,piece,count,share,is_byte_fallback
165,568,▁श,4292,0.00085591,0
166,427,नी,4283,0.00085412,0
167,397,▁गरे,4282,0.00085392,0
168,410,वा,4270,0.00085153,0
169,407,▁हुन्,4260,0.00084953,0
170,472,▁सा,4249,0.00084734,0
171,422,▁हुन्छ,4228,0.00084315,0
172,416,▁के,4200,0.00083757,0
173,466,ौं,4198,0.00083717,0
174,437,सी,4162,0.00082999,0
175,409,▁अनुसार,4107,0.00081902,0
176,414,ेको,4105,0.00081862,0
177,493,▁इ,4093,0.00081623,0
178,432,▁समेत,4091,0.00081583,0
179,400,▁जिल्ला,4089,0.00081543,0
180,460,लि,4083,0.00081423,0
181,450,ाई,4075,0.00081264,0
182,413,▁२,4074,0.00081244,0
183,425,▁विकास,4045,0.00080666,0
184,406,▁जानकारी,4039,0.00080546,0
185,418,इ,4037,0.00080506,0
186,503,जा,4033,0.00080426,0
187,595,n,4026,0.00080287,0
188,431,देखि,4018,0.00080127,0
189,426,▁अहिले,3979,0.00079349,0
190,445,▁कुरा,3944,0.00078651,0
191,481,▁व,3929,0.00078352,0
192,453,ने,3928,0.00078332,0
193,446,▁कुनै,3928,0.00078332,0
194,439,▁मात्र,3928,0.00078332,0
195,449,या,3924,0.00078253,0
196,441,▁सो,3911,0.00077993,0
197,435,ए,3904,0.00077854,0
198,479,नि,3901,0.00077794,0
199,474,उ,3900,0.00077774,0
200,412,▁६,3874,0.00077256,0
201,419,▁भए,3849,0.00076757,0
202,434,▁प्रमुख,3827,0.00076318,0
203,545,ति,3810,0.00075979,0
204,485,२,3793,0.00075640,0
205,562,िया,3718,0.00074145,0
206,475,िङ,3718,0.00074145,0
207,428,▁प्रहरी,3713,0.00074045,0
208,538,म्,3684,0.00073467,0
209,411,▁-,3613,0.00072051,0
210,499,सा,3612,0.00072031,0
211,451,▁स्थानीय,3606,0.00071911,0
212,436,▁करोड,3589,0.00071572,0
213,510,हि,3582,0.00071432,0
214,514,अ,3562,0.00071034,0
215,550,ल्,3543,0.00070655,0
216,457,▁समय,3543,0.00070655,0
217,433,▁रुपैयाँ,3542,0.00070635,0
218,471,▁गरेर,3532,0.00070435,0
219,440,▁सरकारले,3524,0.00070276,0
220,480,▁पार्टी,3493,0.00069658,0
221,524,हा,3484,0.00069478,0
222,489,▁ख,3479,0.00069378,0
223,553,ीय,3474,0.00069279,0
224,486,▁सेवा,3463,0.00069059,0
225,459,▁घर,3459,0.00068980,0
226,566,ती,3457,0.00068940,0
227,530,▁च,3438,0.00068561,0
228,465,▁कम,3433,0.00068461,0
229,473,▁नयाँ,3432,0.00068441,0
230,463,▁आएको,3418,0.00068162,0
231,462,▁बढी,3409,0.00067982,0
232,469,७,3400,0.00067803,0
233,461,▁रहेका,3357,0.00066945,0
234,565,ष,3349,0.00066786,0
235,500,६,3348,0.00066766,0
236,587,न्त,3338,0.00066567,0
237,509,ंग,3323,0.00066267,0
238,454,▁कार्यालय,3319,0.00066188,0
239,583,प्र,3304,0.00065889,0
240,554,ष्ट,3292,0.00065649,0
241,594,सि,3279,0.00065390,0
242,468,▁सरकार,3277,0.00065350,0
243,532,▁प्रति,3267,0.00065151,0
244,477,▁आज,3260,0.00065011,0
245,478,▁५,3241,0.00064632,0
246,470,▁फ,3240,0.00064612,0
247,504,ाउन,3237,0.00064552,0
248,623,रण,3234,0.00064493,0
249,663,द्ध,3210,0.00064014,0
250,483,▁रुपमा,3209,0.00063994,0
251,458,िन,3206,0.00063934,0
252,487,▁कार्यक्रम,3196,0.00063735,0
253,528,लो,3187,0.00063555,0
254,619,कार,3183,0.00063476,0
255,703,ठ,3171,0.00063236,0
256,653,▁उप,3166,0.00063137,0
257,484,▁३,3161,0.00063037,0
258,464,ई,3159,0.00062997,0
259,539,▁कार्य,3156,0.00062937,0
260,512,५,3149,0.00062798,0
261,577,रि,3146,0.00062738,0
262,467,▁?,3136,0.00062538,0
263,476,▁प्रधानमन्त्री,3124,0.00062299,0
264,495,▁अन्य,3123,0.00062279,0
265,497,३,3119,0.00062199,0
266,606,स्त,3110,0.00062020,0
267,598,िय,3098,0.00061781,0
268,482,▁प्रतिशत,3097,0.00061761,0
269,492,▁कोरोना,3082,0.00061461,0
270,506,▁खेल,3082,0.00061461,0
271,608,पी,3079,0.00061402,0
272,491,▁१०,3073,0.00061282,0
273,502,▁ल,3067,0.00061162,0
274,496,▁भन्दै,3066,0.00061142,0
275,488,▁८,3034,0.00060504,0
276,494,मै,3014,0.00060105,0
277,518,▁आर्थिक,3004,0.00059906,0
278,516,▁विभिन्न,2993,0.00059687,0
279,511,▁पहिलो,2988,0.00059587,0
280,501,▁तीन,2971,0.00059248,0
281,536,▁रूपमा,2951,0.00058849,0
282,508,▁९,2950,0.00058829,0
283,714,त्र,2947,0.00058769,0
284,515,▁क्षेत्र,2941,0.00058650,0
285,590,टा,2927,0.00058370,0
286,541,४,2923,0.00058291,0
287,569,्दै,2922,0.00058271,0
288,667,ङ्ग,2921,0.00058251,0
289,534,▁प्रयोग,2916,0.00058151,0
290,523,०,2911,0.00058051,0
291,613,मि,2895,0.00057732,0
292,520,▁व्यवस्था,2892,0.00057672,0
293,637,ाउ,2888,0.00057593,0
294,513,▁निर्णय,2876,0.00057353,0
295,549,▁केन्द्र,2873,0.00057294,0
296,544,्दा,2862,0.00057074,0
297,535,▁गते,2859,0.00057014,0
298,505,▁थप,2856,0.00056955,0
299,519,ेका,2847,0.00056775,0
300,572,यो,2838,0.00056596,0
301,630,हरूको,2835,0.00056536,0
302,607,▁ता,2812,0.00056077,0
303,498,▁समस्या,2811,0.00056057,0
304,717,▁बे,2811,0.00056057,0
305,600,क्ष,2802,0.00055878,0
306,552,स्ट,2794,0.00055718,0
307,507,▁उनको,2793,0.00055698,0
308,521,▁सदस्य,2791,0.00055658,0
309,529,▁सुरु,2790,0.00055638,0
310,573,▁मन,2789,0.00055618,0
311,622,▁सं,2787,0.00055579,0
312,548,▁गर्दा,2785,0.00055539,0
313,547,▁राष्ट्रिय,2772,0.00055279,0
314,490,▁दिए,2772,0.00055279,0
315,543,भन्दा,2771,0.00055259,0
316,558,डा,2763,0.00055100,0
317,570,जी,2756,0.00054960,0
318,533,▁स्वास्थ्य,2753,0.00054900,0
319,588,दा,2751,0.00054861,0
320,525,▁७,2746,0.00054761,0
321,551,▁भारत,2728,0.00054402,0
322,517,▁जनाएको,2718,0.00054203,0
323,557,हरुले,2715,0.00054143,0
324,522,▁महिला,2710,0.00054043,0
325,593,▁देखि,2691,0.00053664,0
326,526,ाउने,2688,0.00053604,0
327,556,▁माग,2681,0.00053465,0
328,576,ण्ड,2674,0.00053325,0
329,662,घ,2672,0.00053285,0
330,559,८,2666,0.00053166,0
331,564,▁त्यस,2649,0.00052827,0
332,580,ङ,2647,0.00052787,0
333,574,▁अब,2642,0.00052687,0
334,732,▁कु,2641,0.00052667,0
335,579,बा,2640,0.00052647,0
336,555,"▁""",2630,0.00052448,0
337,537,▁उक्त,2625,0.00052348,0
338,563,सँगै,2605,0.00051949,0
339,602,▁क्षेत्रमा,2598,0.00051809,0
340,546,सहित,2584,0.00051530,0
341,597,▁भयो,2554,0.00050932,0
342,627,▁सन्,2551,0.00050872,0
343,1249,्रो,2544,0.00050733,0
344,591,▁त्यो,2539,0.00050633,0
345,610,राज,2530,0.00050453,0
346,596,हरुको,2529,0.00050433,0
347,592,▁डा,2506,0.00049975,0
348,542,▁नेता,2494,0.00049735,0
349,756,▁जन,2490,0.00049656,0
350,685,ही,2484,0.00049536,0
351,601,▁व्यक्ति,2483,0.00049516,0
352,609,▁पूर्व,2481,0.00049476,0
353,716,्र,2480,0.00049456,0
354,599,▁भन्दा,2480,0.00049456,0
355,582,▁दिने,2480,0.00049456,0
356,571,▁४,2477,0.00049396,0
357,527,▁उनी,2475,0.00049357,0
358,761,पुर,2470,0.00049257,0
359,561,▁सहयोग,2465,0.00049157,0
360,704,ाय,2450,0.00048858,0
361,585,▁बढ,2425,0.00048359,0
362,769,र्क,2419,0.00048240,0
363,531,▁आयोजना,2418,0.00048220,0
364,589,९,2395,0.00047761,0
365,584,▁दिएको,2393,0.00047721,0
366,567,▁‘,2392,0.00047701,0
367,767,र्ज,2378,0.00047422,0
368,712,▁मु,2377,0.00047402,0
369,635,▁झ,2373,0.00047323,0
370,615,▁जोड,2363,0.00047123,0
371,701,झ,2352,0.00046904,0
372,771,आ,2351,0.00046884,0
373,604,रे,2342,0.00046704,0
374,575,▁संस्था,2334,0.00046545,0
375,560,▁नगरपालिका,2332,0.00046505,0
376,628,▁हामी,2331,0.00046485,0
377,586,▁सडक,2327,0.00046405,0
378,652,्रा,2325,0.00046365,0
379,626,रु,2324,0.00046345,0
380,713,▁मे,2318,0.00046226,0
381,611,▁एमाले,2313,0.00046126,0
382,680,▁ओ,2298,0.00045827,0
383,581,▁निर्वाचन,2294,0.00045747,0
384,1106,मान,2282,0.00045508,0
385,617,▁अवस्था,2279,0.00045448,0
386,684,▁गर्नु,2278,0.00045428,0
387,621,▁सुन,2276,0.00045388,0
388,605,टी,2272,0.00045308,0
389,655,हरूले,2271,0.00045288,0
390,648,िएका,2270,0.00045268,0
391,639,क्,2262,0.00045109,0
392,616,▁उत्पादन,2256,0.00044989,0
393,709,ेट,2253,0.00044929,0
394,634,सु,2249,0.00044850,0
395,603,▁महिना,2249,0.00044850,0
396,618,बारे,2247,0.00044810,0
397,624,क्स,2240,0.00044670,0
398,897,्व,2233,0.00044531,0
399,718,गा,2228,0.00044431,0
400,643,▁दल,2216,0.00044192,0
401,631,▁आवश्यक,2214,0.00044152,0
402,754,▁परि,2209,0.00044052,0
403,708,ियो,2205,0.00043972,0
404,692,ः,2200,0.00043873,0
405,690,डी,2198,0.00043833,0
406,612,▁सार्वजनिक,2194,0.00043753,0
407,657,र्स,2184,0.00043553,0
408,640,▁बनाउन,2178,0.00043434,0
409,674,▁राज,2173,0.00043334,0
410,720,▁विश्व,2169,0.00043254,0
411,694,▁गरि,2165,0.00043175,0
412,794,खा,2157,0.00043015,0
413,638,िने,2156,0.00042995,0
414,629,▁प्राप्त,2155,0.00042975,0
415,702,▁ध,2153,0.00042935,0
416,665,्छ,2137,0.00042616,0
417,620,▁गत,2129,0.00042457,0
418,740,चा,2128,0.00042437,0
419,625,▁अर्ब,2113,0.00042138,0
420,670,▁नाम,2104,0.00041958,0
421,632,▁योजना,2102,0.00041918,0
422,641,▁अघि,2096,0.00041799,0
423,664,▁मात्रै,2096,0.00041799,0
424,1005,हु,2088,0.00041639,0
425,978,▁घ,2085,0.00041579,0
426,750,▁लि,2080,0.00041479,0
427,654,▁जारी,2073,0.00041340,0
428,659,▁उल्लेख,2066,0.00041200,0
429,787,"""",2065,0.00041180,0
430,719,▁पा,2064,0.00041160,0
431,658,▁हाल,2061,0.00041101,0
432,1122,▁\,2059,0.00041061,0
433,645,▁पाँच,2058,0.00041041,0
434,677,▁एउटा,2058,0.00041041,0
435,656,▁पर्ने,2058,0.00041041,0
436,651,▁साथ,2053,0.00040941,0
437,668,▁पटक,2047,0.00040821,0
438,686,भित्र,2041,0.00040702,0
439,698,माथि,2040,0.00040682,0
440,672,▁ना,2038,0.00040642,0
441,644,▁दि,2032,0.00040522,0
442,853,जन,2023,0.00040343,0
443,689,▁गोल,2019,0.00040263,0
444,929,न्द,2015,0.00040183,0
445,757,ुवा,2014,0.00040163,0
446,715,▁कर्मचारी,2014,0.00040163,0
447,3995,_,2014,0.00040163,0
448,798,▁महा,2012,0.00040123,0
449,649,बीच,2008,0.00040044,0
450,723,▁ठूलो,2007,0.00040024,0
451,739,शा,2006,0.00040004,0
452,722,्यो,2005,0.00039984,0
453,633,▁वटा,2000,0.00039884,0
454,749,▁मुलुक,1995,0.00039784,0
455,688,▁भनेर,1993,0.00039745,0
456,642,–,1983,0.00039545,0
457,647,तर्फ,1981,0.00039505,0
458,681,▁कांग्रेस,1980,0.00039485,0
459,727,▁लेख,1977,0.00039425,0
460,724,▁राम्रो,1968,0.00039246,0
461,759,▁स्व,1966,0.00039206,0
462,835,र्म,1966,0.00039206,0
463,636,▁कम्पनी,1964,0.00039166,0
464,614,▁गाउँपालिका,1964,0.00039166,0
465,650,▁समूह,1957,0.00039027,0
466,832,नु,1956,0.00039007,0
467,915,▁अप,1956,0.00039007,0
468,705,▁रु,1956,0.00039007,0
469,696,▁आएका,1944,0.00038767,0
470,773,धि,1943,0.00038747,0
471,682,▁देश,1935,0.00038588,0
472,790,▁थ,1929,0.00038468,0
473,676,▁छलफल,1927,0.00038428,0
474,766,ेश,1926,0.00038408,0
475,730,▁१९,1918,0.00038249,0
476,883,▁पार,1909,0.00038069,0
477,683,▁जित,1905,0.00037990,0
478,819,ौँ,1900,0.00037890,0
479,846,▁दु,1898,0.00037850,0
480,871,▁डि,1895,0.00037790,0
481,810,▁गो,1890,0.00037690,0
482,693,▁१५,1885,0.00037591,0
483,781,ढ,1884,0.00037571,0
484,646,▁मृत्यु,1884,0.00037571,0
485,669,▁सञ्चालन,1880,0.00037491,0
486,735,▁बताएका,1879,0.00037471,0
487,726,से,1875,0.00037391,0
488,721,हरुलाई,1875,0.00037391,0
489,666,▁अस्पताल,1869,0.00037272,0
490,747,▁राष्ट्र,1867,0.00037232,0
491,671,▁मन्त्री,1866,0.00037212,0
492,675,स्थित,1864,0.00037172,0
493,578,▁बैंक,1863,0.00037152,0
494,918,सं,1862,0.00037132,0
495,678,’,1861,0.00037112,0
496,660,▁उद्योग,1860,0.00037092,0
497,673,बहादुर,1850,0.00036893,0
498,817,त्त,1844,0.00036773,0
499,728,▁ती,1841,0.00036713,0
500,725,▁बजेट,1837,0.00036634,0
501,737,▁नागरिक,1834,0.00036574,0
502,734,▁जान,1830,0.00036494,0
503,697,▁लगानी,1826,0.00036414,0
504,738,ाउँदै,1826,0.00036414,0
505,837,▁पो,1822,0.00036334,0
506,880,▁संविधान,1820,0.00036295,0
507,920,▁ले,1819,0.00036275,0
508,814,▁राजनीतिक,1819,0.00036275,0
509,898,i,1818,0.00036255,0
510,679,▁मूल्य,1818,0.00036255,0
511,699,▁उपचार,1818,0.00036255,0
512,729,/,1816,0.00036215,0
513,765,▁अवस्थामा,1805,0.00035995,0
514,777,▁हुनेछ,1804,0.00035975,0
515,830,के,1795,0.00035796,0
516,661,▁नेकपा,1795,0.00035796,0
517,775,▁बन्द,1791,0.00035716,0
518,707,बि,1786,0.00035617,0
519,890,▁नेपालको,1783,0.00035557,0
520,855,▁मो,1781,0.00035517,0
521,743,▁तपाईं,1780,0.00035497,0
522,908,न्ड,1779,0.00035477,0
523,700,समेत,1778,0.00035457,0
524,792,ीकरण,1776,0.00035417,0
525,748,▁तह,1770,0.00035297,0
526,762,▁साथै,1768,0.00035258,0
527,763,▁विशेष,1767,0.00035238,0
528,741,▁यस्तो,1762,0.00035138,0
529,695,▁चार,1760,0.00035098,0
530,731,▁पद,1756,0.00035018,0
531,736,जि,1756,0.00035018,0
532,687,▁गर,1753,0.00034958,0
533,842,मी,1753,0.00034958,0
534,710,▁१२,1752,0.00034938,0
535,768,▁गु,1749,0.00034879,0
536,758,▁जो,1749,0.00034879,0
537,1007,▁य,1748,0.00034859,0
538,799,▁लिन,1744,0.00034779,0
539,745,गत,1735,0.00034599,0
540,848,▁यसको,1734,0.00034580,0
541,935,▁ढ,1732,0.00034540,0
542,742,▁११,1730,0.00034500,0
543,828,▁यी,1728,0.00034460,0
544,1260,वार,1726,0.00034420,0
545,904,▁मह,1719,0.00034280,0
546,755,ाएको,1718,0.00034260,0
547,774,ुपर्ने,1711,0.00034121,0
548,760,▁बेला,1707,0.00034041,0
549,807,▁होइन,1707,0.00034041,0
550,847,▁से,1706,0.00034021,0
551,805,▁कर,1704,0.00033981,0
552,874,ओ,1704,0.00033981,0
553,887,न्ट,1702,0.00033941,0
554,746,▁भइरहेको,1699,0.00033882,0
555,834,मध्ये,1698,0.00033862,0
556,706,▁मत,1698,0.00033862,0
557,752,▁भा,1697,0.00033842,0
558,751,▁दोस्रो,1693,0.00033762,0
559,928,▁रो,1691,0.00033722,0
560,983,o,1691,0.00033722,0
561,808,▁नेपालमा,1691,0.00033722,0
562,801,▁जीवन,1691,0.00033722,0
563,948,▁राम,1680,0.00033503,0
564,956,िट,1678,0.00033463,0
565,779,▁अर्को,1678,0.00033463,0
566,836,▁फिल्म,1677,0.00033443,0
567,785,पर,1675,0.00033403,0
568,876,▁दा,1674,0.00033383,0
569,813,▁चल,1673,0.00033363,0
570,753,▁क्रममा,1669,0.00033283,0
571,733,▁खर्च,1669,0.00033283,0
572,854,▁राज्य,1665,0.00033204,0
573,926,▁किन,1664,0.00033184,0
574,820,▁सामाजिक,1661,0.00033124,0
575,782,▁हा,1659,0.00033084,0
576,829,▁नीति,1650,0.00032904,0
577,691,▁रकम,1638,0.00032665,0
578,827,▁सुरक्षा,1635,0.00032605,0
579,1100,ङ्,1633,0.00032565,0
580,821,▁सक्ने,1632,0.00032545,0
581,870,▁बस,1631,0.00032526,0
582,811,▁पछि,1630,0.00032506,0
583,861,▁नगर,1627,0.00032446,0
584,899,▁शिक्षा,1625,0.00032406,0
585,840,पत्र,1624,0.00032386,0
586,789,▁विषय,1624,0.00032386,0
587,812,▁सक्छ,1623,0.00032366,0
588,894,▁समाज,1621,0.00032326,0
589,891,▁सभा,1615,0.00032206,0
590,1102,्वा,1614,0.00032186,0
591,896,▁बनाउने,1613,0.00032167,0
592,744,▁संघ,1612,0.00032147,0
593,764,▁विषयमा,1612,0.00032147,0
594,889,्यु,1611,0.00032127,0
595,1095,श्,1609,0.00032087,0
596,772,▁पुगेको,1608,0.00032067,0
597,1069,t,1607,0.00032047,0
598,843,▁जुन,1606,0.00032027,0
599,809,▁पानी,1605,0.00032007,0
600,906,e,1604,0.00031987,0
601,901,कु,1603,0.00031967,0
602,844,▁अनुसन्धान,1603,0.00031967,0
603,770,▁हुँदा,1599,0.00031887,0
604,954,▁हि,1598,0.00031867,0
605,793,▁बन,1597,0.00031847,0
606,778,अनुसार,1596,0.00031828,0
607,1016,▁यु,1595,0.00031808,0
608,815,▁अधिकारी,1593,0.00031768,0
609,804,प्रसाद,1593,0.00031768,0
610,818,▁मिल,1589,0.00031688,0
611,872,▁ट,1585,0.00031608,0
612,783,▁व्यवस्थापन,1585,0.00031608,0
613,797,▁समिति,1583,0.00031568,0
614,803,▁जनता,1576,0.00031429,0
615,806,▁५०,1576,0.00031429,0
616,711,▁वडा,1576,0.00031429,0
617,1116,ञ्च,1573,0.00031369,0
618,850,▁चीन,1573,0.00031369,0
619,885,▁माओवादी,1570,0.00031309,0
620,1154,म्ब,1568,0.00031269,0
621,865,▁सबैभन्दा,1568,0.00031269,0
622,795,▁लागेको,1566,0.00031229,0
623,1003,ञ्ज,1563,0.00031169,0
624,864,▁समयमा,1563,0.00031169,0
625,788,▁संख्या,1563,0.00031169,0
626,944,▁चि,1563,0.00031169,0
627,800,▁गर्नुपर्ने,1548,0.00030870,0
628,791,▁परेको,1547,0.00030850,0
629,919,s,1543,0.00030771,0
630,858,▁उच्च,1540,0.00030711,0
631,893,▁काठमाडौँ,1539,0.00030691,0
632,851,▁खोज,1535,0.00030611,0
633,852,▁कार्यक्रममा,1531,0.00030531,0
634,869,▁भेट,1527,0.00030452,0
635,863,▁उपलब्ध,1525,0.00030412,0
636,910,त्,1523,0.00030372,0
637,922,▁बो,1523,0.00030372,0
638,950,▁व्यापार,1523,0.00030372,0
639,868,▁गएको,1517,0.00030252,0
640,862,▁पक्ष,1515,0.00030212,0
641,877,▁प्रस्ताव,1515,0.00030212,0
642,909,▁यहाँ,1511,0.00030132,0
643,879,▁घोषणा,1509,0.00030093,0
644,953,टर,1508,0.00030073,0
645,930,एस,1505,0.00030013,0
646,1057,▁अव,1502,0.00029953,0
647,936,▁गीत,1502,0.00029953,0
648,822,▁ड,1501,0.00029933,0
649,1117,▁पि,1501,0.00029933,0
650,823,▁खा,1501,0.00029933,0
651,961,▁आइ,1501,0.00029933,0
652,1251,चार,1497,0.00029853,0
653,849,▁सांसद,1497,0.00029853,0
654,796,▁बजार,1494,0.00029793,0
655,1108,ंक,1492,0.00029754,0
656,937,▁भाग,1492,0.00029754,0
657,1112,राम,1491,0.00029734,0
658,833,▁भएपछि,1491,0.00029734,0
659,825,▁देखिएको,1489,0.00029694,0
660,860,▁ओली,1489,0.00029694,0
661,839,▁परिवार,1489,0.00029694,0
662,867,▁यस्तै,1486,0.00029634,0
663,921,▁हाम्रो,1486,0.00029634,0
664,1009,भर,1483,0.00029574,0
665,857,▁बाहिर,1482,0.00029554,0
666,831,ाएर,1480,0.00029514,0
667,1085,म्प,1479,0.00029494,0
668,1073,हो,1479,0.00029494,0
669,1159,ेज,1479,0.00029494,0
670,816,कुमार,1478,0.00029474,0
671,1078,मे,1476,0.00029434,0
672,824,▁सम्पन्न,1470,0.00029315,0
673,845,▁आउने,1469,0.00029295,0
674,866,▁अगाडि,1468,0.00029275,0
675,786,▁प्रहरीले,1466,0.00029235,0
676,989,जु,1464,0.00029195,0
677,957,टो,1464,0.00029195,0
678,914,▁मुख्य,1459,0.00029095,0
679,895,▁पु,1456,0.00029036,0
680,939,▁भित्र,1455,0.00029016,0
