vocab_size,model_type,fertility,chars_per_token,bytes_per_token,unk_rate,byte_fallback_rate,tokens_per_doc,eval_documents,eval_tokens,embedding_params,embedding_share,fertility_by_provenance,model_path
4000,unigram,1.833825565588518,3.6466621550504006,9.776744502231493,0.0,0.002757381724746088,523.6852,5000,2618426,2048000,0.08192,"{""manual"": 1.8039, ""downloaded"": 1.8501}",/home/jupyter/LLM-for-hindi-and-nepali/nepali/tokenizer/analysis/sweep_models/spm_nepali_unigram_v4000.model
8000,unigram,1.5813513893976183,4.22887811895049,11.337672408944295,0.0,0.003197617641991717,451.5862,5000,2257931,4096000,0.16384,"{""manual"": 1.5566, ""downloaded"": 1.5955}",/home/jupyter/LLM-for-hindi-and-nepali/nepali/tokenizer/analysis/sweep_models/spm_nepali_unigram_v8000.model
16000,unigram,1.4208785382768065,4.706484128548896,12.618139787066246,0.0,0.0035587539432176654,405.76,5000,2028800,8192000,0.32768,"{""manual"": 1.4002, ""downloaded"": 1.4319}",/home/jupyter/LLM-for-hindi-and-nepali/nepali/tokenizer/analysis/sweep_models/spm_nepali_unigram_v16000.model
32000,unigram,1.3165586837263603,5.079410717999922,13.617960397840887,0.0,0.0038407381026221814,375.9694,5000,1879847,16384000,0.65536,"{""manual"": 1.3012, ""downloaded"": 1.3249}",/home/jupyter/LLM-for-hindi-and-nepali/nepali/tokenizer/analysis/sweep_models/spm_nepali_unigram_v32000.model
